SNTB2
THAP5
RAB28
ZBTB24
TTC33
SLC37A3
FAM134B
METTL4
ZNF721
SLAIN1
SFMBT1
TAF5
SMAD2
SNX25
SLC30A4
SLC41A1
TNRC6C
KCTD7
SYNE2
ISY1-RAB43
ZHX2
PPP2R5C
GTF2H1
ID3
DLG3
LIG4
LOC729603
SIMC1
TCFL5
PIK3R3
NMT2
HIVEP2
FBXO21
DTX1
MIR600HG
TMEM117
IGF2R
LEF1
PPM1K
ICK
SMAGP
LRIF1
PLCG1
CASK
USP28
ANKH
POLH
STK38
FAM69A
LRIG1
PTCH1
PLAG1
RNFT2
SNORD109B
IPP
HCG27
ZCCHC7
PITPNC1
GPR19
MME
DUSP16
ARSG
SPSB1
HOMER1
GLDC
TRIM39-RPP21
MCUB
FLT1
TBC1D4
ZNF616
GSDMB
TMEM243
PPP1R13B
CMTM8
FAM24B-CUZD1
MAGI3
BACH2
BORCS7-ASMT
ALDOC
ITPR3
AJUBA
TIFA
AKTIP
STARD9
YPEL1
PECR
KIAA0922
DGKH
PARD3
PHLDB2
DOCK9
AFDN
SLC44A2
RASGRP1
EVL
MTA3
PSAT1
GDPD3
WDCP
ZNF138
ZAP70
LOC100130428
SERINC5
RAG2
TPST1
PVRIG
TRIB2
RAG1
PGGHG
ZFYVE9
KIAA1324L
PTTG2
NRN1
MYBL1
SNORD116-23
CHD7
ZNF423
CHRNA5
HERC5
ST6GALNAC3
C5orf34
ARPP21
VASH2
CEP19
ZFP82
GPR63
TIAM1
CYFIP2
PSPH
SPTBN1
SNORD116-25
CLEC2D
VPREB3
FAM213A
LARGE1
TCL1A
HIST1H2BI
ZNF681
CISD1
C17orf75
STAMBPL1
STXBP1
FCMR
SNORD116-6
IGF1R
LOC285097
ZNF566
GPR155
CHI3L2
PTPRK
TDRKH
GLI3
AEBP1
GABBR1
PCDH9
KIF3A
BLK
MGAT4A
RPL39L
NEO1
KLF12
GATA3
ARHGAP42
LCK
SIT1
TMEM133
IGHV5-78
GCSAM
PAX5
USP41
LOC727751
FAM64A
EBF1
CD79A
LOC100133207
RTKN2
PBK
RAPGEF5
SEPT1
LRP6
SCN3A
RAD54B
GJC1
CAMK4
SLC16A10
CNR2
CD19
EFNB2
MXRA7
CAMSAP2
MSANTD3-TMEFF1
ATP1A3
SNORD116-26
GNG2
LOC728175
RGMB
SNORD116-9
EPHA4
FAM102A
ACBD7
NID2
ASS1
TIAM2
VPREB1
NDC80
AKAP12
ABCD2
SNORD116-20
SCML1
SNORD116-24
TUSC3
LBH
TCF7
PCGF6
PAG1
RORB
SNORD64
FAM129C
PXDN
LY9
AKT3
C12orf75
VIPR2
SIDT1
RAB43
SNORD109A
RPP21
CUZD1
AS3MT
USP18
GOLGA2P3Y
PDGFRB
TMEFF1
SNORD116-8
PWAR5
GOLGA2P7
GOLGA2P2Y
SNORD116-3
GOLGA2P10
